,hs_code,suffix,description
0,87.01,,トラクター（第87.09項のトラクターを除く。）
1,8701.10,000,一軸トラクター
2,,,セミトレーラー用の道路走行用トラクター
3,8701.21,000,ピストン式圧縮点火内燃機関（ディーゼルエンジン又はセミディーゼルエンジン）のみを搭載したもの
4,8701.22,000,駆動原動機としてピストン式圧縮点火内燃機関（ディーゼルエンジン又はセミディーゼルエンジン）及び電動機を搭載したもの
5,8701.23,000,駆動原動機としてピストン式火花点火内燃機関及び電動機を搭載したもの
6,8701.24,000,駆動原動機として電動機のみを搭載したもの
7,8701.29,000,その他のもの
8,8701.30,000,無限軌道式トラクター
9,,,その他のもの
10,8701.91,,エンジン出力が18キロワット以下のもの
11,,010,− 農業用のもの
12,,090,− その他のもの
13,8701.92,,エンジン出力が18キロワットを超え37キロワット以下のもの
14,,010,− 農業用のもの
15,,090,− その他のもの
16,8701.93,,エンジン出力が37キロワットを超え75キロワット以下のもの
17,,,− 農業用のもの
18,,011,−− エンジン出力が52キロワット以下のもの
19,,012,−− エンジン出力が52キロワットを超えるもの
20,,090,− その他のもの
21,8701.94,,エンジン出力が75キロワットを超え130キロワット以下のもの
22,,010,− 農業用のもの
23,,090,− その他のもの
24,8701.95,,エンジン出力が130キロワットを超えるもの
25,,010,− 農業用のもの
26,,090,− その他のもの
27,87.02,,10人以上の人員（運転手を含む。）の輸送用の自動車
28,8702.10,000,ピストン式圧縮点火内燃機関（ディーゼルエンジン及びセミディーゼルエンジン）のみを搭載したもの
29,8702.20,000,駆動原動機としてピストン式圧縮点火内燃機関（ディーゼルエンジン及びセミディーゼルエンジン）及び電動機を搭載したもの
30,8702.30,000,駆動原動機としてピストン式火花点火内燃機関及び電動機を搭載したもの
31,8702.40,000,駆動原動機として電動機のみを搭載したもの
32,8702.90,000,その他のもの
33,87.03,,乗用自動車その他の自動車（ステーションワゴン及びレーシングカーを含み、主として人員の輸送用に設計したものに限るものとし、第87.02項のものを除く。）
34,8703.10,000,雪上走行用に特に設計した車両及びゴルフカーその他これに類する車両
35,,,その他の車両（ピストン式火花点火内燃機関のみを搭載したものに限る。）
36,8703.21,000,"シリンダー容積が1,000立方センチメートル以下のもの"
37,8703.22,000,"シリンダー容積が1,000立方センチメートルを超え1,500立方センチメートル以下のもの"
38,8703.23,000,"シリンダー容積が1,500立方センチメートルを超え3,000立方センチメートル以下のもの"
39,8703.24,000,"シリンダー容積が3,000立方センチメートルを超えるもの"
40,,,その他の車両（ピストン式圧縮点火内燃機関（ディーゼルエンジン又はセミディーゼルエンジン）のみを搭載したものに限る。）
41,8703.31,000,"シリンダー容積が1,500立方センチメートル以下のもの"
