,hs_code,suffix,description
0,37.01,,感光性の写真用プレート及び平面状写真用フィルム（露光してないものに限るものとし、紙製、板紙製又は紡織用繊維製のものを除く。）並びに感光性の平面状インスタントプリントフィルム（露光してないものに限るものとし、まとめて包装してあるかないかを問わない。）
1,3701.10,,エックス線用のもの
2,,,− 直接撮影用のもの
3,,011,−− 医療用のもの
4,,019,−− その他のもの
5,,090,− その他のもの
6,3701.20,,インスタントプリントフィルム
7,,010,− 感光性のシートが紙製、板紙製又は紡織用繊維製以外のもの
8,,020,− その他のもの
9,3701.30,,その他のプレート及びフィルム（いずれかの辺の長さが255ミリメートルを超えるものに限る。）
10,,,− 製版用のもの
11,,031,−− プレート
12,,039,−− フィルム
13,,090,− その他のもの
14,,,その他のもの
15,3701.91,000,カラー写真用のもの（ポリクローム）
16,3701.99,000,その他のもの
17,37.02,,感光性のロール状写真用フィルム（露光してないものに限るものとし、紙製、板紙製又は紡織用繊維製のものを除く。）及び感光性のロール状インスタントプリントフィルム（露光してないものに限る。）
18,3702.10,000,エックス線用のもの
19,,,その他のフィルム（パーフォレーションのないもので、幅が105ミリメートル以下のものに限る。）
20,3702.31,000,カラー写真用のもの（ポリクローム）
21,3702.32,000,その他のもの（ハロゲン化銀の乳剤を使用したものに限る。）
22,3702.39,000,その他のもの
23,,,その他のフィルム（パーフォレーションのないもので、幅が105ミリメートルを超えるものに限る。）
24,3702.41,000,幅が610ミリメートルを超え、長さが200メートルを超えるもの（カラー写真用のもの（ポリクローム）に限る。）
25,3702.42,000,幅が610ミリメートルを超え、長さが200メートルを超えるもの（カラー写真用のもの（ポリクローム）を除く。）
26,3702.43,000,幅が610ミリメートルを超え、長さが200メートル以下のもの
27,3702.44,000,幅が105ミリメートルを超え610ミリメートル以下のもの
28,,,その他のフィルム（カラー写真用のもの（ポリクローム）に限る。）
29,3702.52,000,幅が16ミリメートル以下のもの
30,3702.53,000,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートル以下のもの（スライド用のものに限る。）
31,3702.54,000,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートル以下のもの（スライド用のものを除く。）
32,3702.55,000,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートルを超えるもの
33,3702.56,000,幅が35ミリメートルを超えるもの
34,,,その他のもの
35,3702.96,000,幅が35ミリメートル以下で、長さが30メートル以下のもの
36,3702.97,000,幅が35ミリメートル以下で、長さが30メートルを超えるもの
37,3702.98,000,幅が35ミリメートルを超えるもの
38,37.03,,感光性の写真用の紙、板紙及び紡織用繊維（露光してないものに限る。）
39,3703.10,,ロール状のもので、幅が610ミリメートルを超えるもの
40,,010,1 カラー印画紙
41,,090,2 その他のもの
42,3703.20,000,その他のもの（カラー写真用のもの（ポリクローム）に限る。）
43,3703.90,000,その他のもの
44,37.04,,
45,3704.00,000,写真用のプレート、フィルム、紙、板紙及び紡織用繊維（露光したもので、現像してないものに限る。）
46,37.05,,
47,3705.00,000,写真用のプレート及びフィルム（露光し、かつ、現像したものに限るものとし、映画用フィルムを除く。）
48,37.06,,映画用フィルム（露光し、かつ、現像したものに限るものとし、サウンドトラックを有するか有しないか又はサウンドトラックのみを有するか有しないかを問わない。）
49,3706.10,000,幅が35ミリメートル以上のもの
50,3706.90,000,その他のもの
51,37.07,,写真用の化学調製品（ワニス、膠着剤、接着剤その他これらに類する調製品を除く。）及び写真用の物品で混合してないもの（使用量にしたもの及び小売用にしたもので直ちに使用可能な形状のものに限る。）
52,3707.10,000,感光性の乳剤
53,3707.90,000,その他のもの
