,hs_code,suffix,description
0,64.01,,防水性の履物（本底及び甲がゴム製又はプラスチック製のものに限るものとし、縫合、リベット締め、くぎ打ち、ねじ締め、プラグ止めその他これらに類する方法により甲を底に固定し又は組み立てたものを除く。）
1,6401.10,,履物（保護用の金属製トーキャップを有するものに限る。）
2,,010,1 スキー靴
3,,090,2 その他のもの
4,,,その他の履物
5,6401.92,,くるぶしを覆うもの（ひざを覆うものを除く。）
6,,010,1 スキー靴
7,,090,2 その他のもの
8,6401.99,000,その他のもの
9,64.02,,その他の履物（本底及び甲がゴム製又はプラスチック製のものに限る。）
10,,,スポーツ用の履物
11,6402.12,,スキー靴（クロスカントリー用のものを含む。）及びスノーボードブーツ
12,,010,1 スキー靴
13,,090,2 スノーボードブーツ
14,6402.19,000,その他のもの
15,6402.20,000,履物（甲の部分のストラップ又はひもを底にプラグ止めしたものに限る。）
16,,,その他の履物
17,6402.91,000,くるぶしを覆うもの
18,6402.99,,その他のもの
19,,010,− 短靴
20,,,− サンダル
21,,021,−− かかとを覆わないもの
22,,029,−− その他のもの
23,,090,− その他のもの
24,64.03,,履物（本底がゴム製、プラスチック製、革製又はコンポジションレザー製で、甲が革製のものに限る。）
25,,,スポーツ用の履物
26,6403.12,,スキー靴（クロスカントリー用のものを含む。）及びスノーボードブーツ
27,,010,1 本底がゴム製、革製又はコンポジションレザー製のもの
28,,090,2 その他のもの
29,6403.19,,その他のもの
30,,010,1 本底がゴム製、革製又はコンポジションレザー製のもの
31,,090,2 その他のもの
32,6403.20,,履物（本底が革製で、革製のストラップが足の甲及び親指の回りにかかるものに限る。）
33,,,− 室内用履物
34,,011,"−− この号、第6403.40号、第6403.51号の1及び2の(2)、第6403.59号の1の(2)及び2の(2)、第6403.91号の1の(2)及び2の(2)、第6403.99号の1の(2)及び2の(2)、第6404.19号の1の(1)、第6404.20号の1の(1)並びに2の(1)のA及び(2)のA、第6405.10号の1の(1)並びに第6405.90号の1の(1)のA及び(2)のAの(a)に掲げる履物について、各年度において12,019,000足を基準とし、前年度における輸入数量、国際市況その他の条件を勘案して政令で定める数量（以下この項から第64.05項までにおいて「共通の限度数量」という。）以内のもの"
35,,012,−− その他のもの
36,,,− その他のもの
37,,021,−− 共通の限度数量以内のもの
38,,022,−− その他のもの
