,hs_code,suffix,description
0,48.01,,
1,4801.00,,新聞用紙（ロール状又はシート状のものに限る。）
2,,,− 幅が80センチメートルを超えるロール状のもの
3,,011,−− 幅が161センチメートルを超えるもの
4,,019,−− 幅が161センチメートル以下のもの
5,,090,− その他のもの
6,48.02,,筆記用、印刷用その他のグラフィック用に供する種類の塗布してない紙及び板紙、せん孔カード用紙及びせん孔テープ用紙（ロール状又は長方形（正方形を含む。）のシート状のものに限るものとし、大きさを問わず、第48.01項又は第48.03項の紙を除く。）並びに手すきの紙及び板紙
7,4802.10,000,手すきの紙及び板紙
8,4802.20,000,写真感光紙、感熱紙又は感電子紙の原紙に使用する種類の紙及び板紙
9,4802.40,000,壁紙原紙
10,,,その他の紙及び板紙（機械パルプとケミグランドパルプを合わせたものの含有量が全繊維重量の10％以下のものに限る。）
11,4802.54,000,重量が1平方メートルにつき40グラム未満のもの
12,4802.55,000,重量が1平方メートルにつき40グラム以上150グラム以下のもの（ロール状のものに限る。）
13,4802.56,000,重量が1平方メートルにつき40グラム以上150グラム以下のもの（折り畳んでない状態において1辺の長さが435ミリメートル以下で、その他の辺の長さが297ミリメートル以下のシート状のものに限る。）
14,4802.57,000,その他のもの（重量が1平方メートルにつき40グラム以上150グラム以下のものに限る。）
15,4802.58,000,重量が1平方メートルにつき150グラムを超えるもの
16,,,その他の紙及び板紙（機械パルプとケミグランドパルプを合わせたものの含有量が全繊維重量の10％を超えるものに限る。）
17,4802.61,,ロール状のもの
18,,100,1 カーボン原紙
19,,900,2 その他のもの
20,4802.62,,折り畳んでない状態において1辺の長さが435ミリメートル以下で、その他の辺の長さが297ミリメートル以下のシート状のもの
21,,100,1 カーボン原紙
22,,900,2 その他のもの
23,4802.69,,その他のもの
24,,100,1 カーボン原紙
25,,900,2 その他のもの
26,48.03,,
27,4803.00,000,トイレットペーパー、化粧用ティッシュ、紙タオル、紙ナプキンその他これらに類する家庭用又は衛生用に供する種類の紙、セルロースウォッディング及びセルロース繊維のウェブ（ロール状又はシート状のものに限るものとし、ちりめん加工をし、しわ付けをし、型押しをし、せん孔し、表面に着色し若しくは装飾を施し又は印刷したものであるかないかを問わない。）
28,48.04,,クラフト紙及びクラフト板紙（塗布してないものでロール状又はシート状のものに限るものとし、第48.02項又は第48.03項のものを除く。）
29,,,クラフトライナー
30,4804.11,,さらしてないもの
31,,010,1 重量が1平方メートルにつき300グラム以下のもの
32,,020,2 その他のもの
33,4804.19,,その他のもの
34,,010,1 重量が1平方メートルにつき300グラム以下のもの
35,,020,2 その他のもの
36,,,重袋用クラフト紙
37,4804.21,000,さらしてないもの
38,4804.29,000,その他のもの
39,,,その他のクラフト紙及びクラフト板紙（重量が1平方メートルにつき150グラム以下のものに限る。）
40,4804.31,000,さらしてないもの
41,4804.39,000,その他のもの
42,,,その他のクラフト紙及びクラフト板紙（重量が1平方メートルにつき150グラムを超え225グラム未満のものに限る。）
43,4804.41,000,さらしてないもの
44,4804.42,000,全体を均一にさらしたもので化学木材パルプの含有量が全繊維重量の95％を超えるもの
45,4804.49,000,その他のもの
46,,,その他のクラフト紙及びクラフト板紙（重量が1平方メートルにつき225グラム以上のものに限る。）
47,4804.51,,さらしてないもの
48,,010,1 重量が1平方メートルにつき300グラム以下のもの
49,,020,2 その他のもの
50,4804.52,,全体を均一にさらしたもので化学木材パルプの含有量が全繊維重量の95％を超えるもの
51,,010,1 重量が1平方メートルにつき300グラム以下のもの
52,,020,2 その他のもの
53,4804.59,,その他のもの
54,,010,1 重量が1平方メートルにつき300グラム以下のもの
55,,020,2 その他のもの
56,48.05,,その他の紙及び板紙（塗布してないものでロール状又はシート状のものに限るものとし、この類の注3に規定する加工のほかに更に加工をしたものを除く。）
57,,,段ボール用中芯原紙
58,4805.11,000,セミケミカルパルプ製の段ボール用中芯原紙
59,4805.12,000,わらパルプ製の段ボール用中芯原紙
60,4805.19,000,その他のもの
61,,,テストライナー（再生ライナーボード）
62,4805.24,000,重量が1平方メートルにつき150グラム以下のもの
63,4805.25,000,重量が1平方メートルにつき150グラムを超えるもの
64,4805.30,000,サルファイト包装紙
65,4805.40,,フィルターペーパー及びフィルターペーパーボード
66,,010,1 重量が1平方メートルにつき130グラムを超えるもの（ロール状のものに限る。）
67,,020,2 その他のもの
68,4805.50,,フェルトペーパー及びフェルトペーパーボード
69,,010,1 重量が1平方メートルにつき130グラムを超えるもの（ロール状のものに限る。）
70,,020,2 その他のもの
71,,,その他のもの
72,4805.91,000,重量が1平方メートルにつき150グラム以下のもの
73,4805.92,000,重量が1平方メートルにつき150グラムを超え225グラム未満のもの
74,4805.93,000,重量が1平方メートルにつき225グラム以上のもの
75,48.06,,硫酸紙、耐脂紙、トレーシングペーパー、グラシン紙その他の透明又は半透明の光沢紙（ロール状又はシート状のものに限る。）
76,4806.10,000,硫酸紙
77,4806.20,000,耐脂紙
78,4806.30,000,トレーシングペーパー
79,4806.40,000,グラシン紙その他の透明又は半透明の光沢紙
80,48.07,,
81,4807.00,000,接着剤を使用して張り合わせた紙及び板紙（ロール状又はシート状のものに限るものとし、内部を補強してあるかないかを問わず、表面に塗布し又は染み込ませたものを除く。）
82,48.08,,コルゲート加工をし（平らな表面紙を張り付けてあるかないかを問わない。）、ちりめん加工をし、しわ付けをし、型押しをし又はせん孔した紙及び板紙（ロール状又はシート状のものに限るものとし、第48.03項の紙を除く。）
83,4808.10,000,コルゲート加工をした紙及び板紙（せん孔してあるかないかを問わない。）
84,4808.40,000,クラフト紙（ちりめん加工又はしわ付けをしたものに限るものとし、型押しをしてあるかないか又はせん孔してあるかないかを問わない。）
85,4808.90,000,その他のもの
86,48.09,,カーボン紙、セルフコピーペーパーその他の複写紙及び転写紙（謄写版原紙用又はオフセットプレート用の塗布し又は染み込ませた紙を含み、ロール状又はシート状のものに限るものとし、印刷してあるかないかを問わない。）
87,4809.20,000,セルフコピーペーパー
88,4809.90,,その他のもの
89,,100,1 カーボン紙
90,,900,2 その他のもの
91,48.10,,紙及び板紙（カオリンその他の無機物質を片面又は両面に塗布し（結合剤を使用してあるかないかを問わない。）、かつ、その他の物質を塗布してないもので、ロール状又は長方形（正方形を含む。）のシート状のものに限るものとし、大きさを問わず、表面に着色し若しくは装飾を施してあるかないか又は印刷してあるかないかを問わない。）
92,,,筆記用、印刷用その他のグラフィック用に供する種類の紙及び板紙（機械パルプとケミグランドパルプを合わせたものの含有量が全繊維重量の10％以下のものに限る。）
93,4810.13,000,ロール状のもの
94,4810.14,000,折り畳んでない状態において1辺の長さが435ミリメートル以下で、その他の辺の長さが297ミリメートル以下のシート状のもの
95,4810.19,000,その他のもの
96,,,筆記用、印刷用その他のグラフィック用に供する種類の紙及び板紙（機械パルプとケミグランドパルプを合わせたものの含有量が全繊維重量の10％を超えるものに限る。）
97,4810.22,000,軽量コート紙
98,4810.29,,その他のもの
99,,010,1 機械パルプの含有量が全繊維重量の10％を超えるもの
100,,020,2 その他のもの
101,,,クラフト紙及びクラフト板紙（筆記用、印刷用その他のグラフィック用に供する種類のものを除く。）
102,4810.31,000,全体を均一にさらしたもので、化学木材パルプの含有量が全繊維重量の95％を超え、かつ、重量が1平方メートルにつき150グラム以下のもの
103,4810.32,000,全体を均一にさらしたもので、化学木材パルプの含有量が全繊維重量の95％を超え、かつ、重量が1平方メートルにつき150グラムを超えるもの
104,4810.39,000,その他のもの
105,,,その他の紙及び板紙
106,4810.92,000,多層ずきのもの
107,4810.99,000,その他のもの
108,48.11,,紙、板紙、セルロースウォッディング及びセルロース繊維のウェブ（ロール状又は長方形（正方形を含む。）のシート状のもので、大きさを問わず、塗布し、染み込ませ、被覆し、表面に着色し若しくは装飾を施し又は印刷したものに限るものとし、第48.03項、第48.09項又は第48.10項の物品を除く。）
109,4811.10,000,タール、ビチューメン又はアスファルトを塗布した紙及び板紙
110,,,粘着剤又は接着剤を塗布した紙及び板紙
111,4811.41,000,セルフアドヒーシブのもの
112,4811.49,000,その他のもの
113,,,プラスチック（接着剤を除く。）を塗布し、染み込ませ又は被覆した紙及び板紙
114,4811.51,,さらしたもので重量が1平方メートルにつき150グラムを超えるもの
115,,010,− ミルクカートン用紙
116,,090,− その他のもの
117,4811.59,,その他のもの
118,,010,− ミルクカートン用紙
119,,090,− その他のもの
120,4811.60,,ろう、パラフィンろう、ステアリン、油又はグリセリンを塗布し、染み込ませ又は被覆した紙及び板紙
121,,010,1 ワックス、パラフィン又は油で処理した紙及び板紙
122,,020,2 その他のもの
123,4811.90,,その他の紙、板紙、セルロースウォッディング及びセルロース繊維のウェブ
124,,100,− 感熱紙
125,,900,− その他のもの
126,48.12,,
127,4812.00,000,製紙用パルプ製のフィルターブロック、フィルタースラブ及びフィルタープレート
128,48.13,,製造たばこ用巻紙（特定の大きさに切り、小冊子状にし又は円筒状にしたものであるかないかを問わない。）
129,4813.10,000,小冊子状又は円筒状のもの
130,4813.20,000,ロール状のもの（幅が5センチメートル以下のものに限る。）
131,4813.90,000,その他のもの
132,48.14,,壁紙その他これに類する壁面被覆材及びグラスペーパー
133,4814.20,000,壁紙その他これに類する壁面被覆材（プラスチックを表に塗布し又は被覆した紙から成るもので、当該プラスチックの層に、木目付けをし、型押しをし、着色し、図案を印刷し又はその他の装飾を施したものに限る。）
134,4814.90,000,その他のもの
135,48.16,,カーボン紙、セルフコピーペーパーその他の複写紙及び転写紙（箱入りにしてあるかないかを問わないものとし、第48.09項のものを除く。）並びに謄写版原紙及び紙製のオフセットプレート（箱入りにしてあるかないかを問わない。）
136,4816.20,000,セルフコピーペーパー
137,4816.90,000,その他のもの
138,48.17,,紙製又は板紙製の封筒及び通信用カード並びに封筒、通信用カード、便せん等を紙製又は板紙製の箱、袋その他の容器に詰め合わせたもの
139,4817.10,000,封筒
140,4817.20,000,通信用カード
141,4817.30,000,封筒、通信用カード、便せん等を紙製又は板紙製の箱、袋その他の容器に詰め合わせたもの
142,48.18,,トイレットペーパーその他これに類する家庭用又は衛生用に供する種類の紙、セルロースウォッディング及びセルロース繊維のウェブ（幅が36センチメートル以下のロール状にし又は特定の大きさ若しくは形状に切つたものに限る。）並びに製紙用パルプ製、紙製、セルロースウォッディング製又はセルロース繊維のウェブ製のハンカチ、クレンジングティッシュ、タオル、テーブルクロス、ナプキン、ベッドシーツその他これらに類する家庭用品、衛生用品及び病院用品、衣類並びに衣類附属品
143,4818.10,000,トイレットペーパー
144,4818.20,,ハンカチ、クレンジングティッシュ、化粧用ティッシュ及びタオル
145,,100,− クレンジングティッシュ及び化粧用ティッシュ
146,,200,− ハンカチ及びタオル
147,4818.30,000,テーブルクロス及びナプキン
148,4818.50,000,衣類及び衣類附属品
149,4818.90,000,その他のもの
150,48.19,,紙製、板紙製、セルロースウォッディング製又はセルロース繊維のウェブ製の箱、ケース、袋その他の包装容器及び紙製又は板紙製の書類箱、レタートレイその他これらに類する製品で事務所、商店等において使用する種類のもの
151,4819.10,000,段ボール製の箱及びケース
152,4819.20,000,紙製又は板紙製の折畳み式の箱及びケース（段ボール製のものを除く。）
153,4819.30,000,袋（底の幅が40センチメートル以上のものに限る。）
154,4819.40,000,その他の袋（円すい形のものを含む。）
155,4819.50,000,その他の包装容器（レコード用ジャケットを含む。）
156,4819.60,000,書類箱、レタートレイ、格納箱その他これらに類する製品で事務所、商店等において使用する種類のもの
157,48.20,,紙製又は板紙製の帳簿、会計簿、雑記帳、注文帳、領収帳、便せん、メモ帳、日記帳その他これらに類する製品、練習帳、吸取紙、バインダー、書類挟み、ファイルカバー、転写式の事務用印刷物、挿入式カーボンセットその他の文房具及び事務用品、アルバム（見本用又は収集用のものに限る。）並びにブックカバー
