,hs_code,suffix,description
0,11.01,,
1,1101.00,,小麦粉及びメスリン粉
2,,,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
3,,011,−− グルタミン酸ソーダ製造用のもの（税関の監督の下でグルタミン酸ソーダ製造用の原料として使用するものに限る。）
4,,091,−− その他のもの
5,,200,− その他のもの
6,11.02,,穀粉（小麦粉及びメスリン粉を除く。）
7,1102.20,000,とうもろこし粉
8,1102.90,,その他のもの
9,,,1 大麦粉及び裸麦粉
10,,110,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
11,,190,− その他のもの
12,,,2 ライ小麦粉
13,,210,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
14,,290,− その他のもの
15,,,3 米粉
16,,310,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
17,,390,− その他のもの
18,,,4 その他のもの
19,,410,− ライ麦粉
20,,490,− その他のもの
21,11.03,,ひき割り穀物、穀物のミール及びペレット
22,,,ひき割り穀物及び穀物のミール
23,1103.11,,小麦のもの
24,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
25,,090,− その他のもの
26,1103.13,000,とうもろこしのもの
27,1103.19,,その他の穀物のもの
28,,,1 大麦又は裸麦のもの
29,,110,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
30,,190,− その他のもの
31,,,2 ライ小麦のもの
32,,210,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
33,,290,− その他のもの
34,,400,3 オートのもの
35,,,4 米のもの
36,,510,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
37,,590,− その他のもの
38,,300,5 その他のもの
39,1103.20,,ペレット
40,,,1 小麦のもの
41,,110,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
42,,190,− その他のもの
43,,200,2 オートのもの
44,,,3 とうもろこし又は米のもの
45,,310,(1)とうもろこしのもの
46,,,(2)米のもの
47,,350,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
48,,390,− その他のもの
49,,,4 大麦又は裸麦のもの
50,,410,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
51,,490,− その他のもの
52,,,5 ライ小麦のもの
53,,510,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
54,,590,− その他のもの
55,,600,6 その他のもの
56,11.04,,その他の加工穀物（例えば、殻を除き、ロールにかけ、フレーク状にし、真珠形にとう精し、薄く切り又は粗くひいたもの。第10.06項の米を除く。）及び穀物の胚芽（全形のもの及びロールにかけ、フレーク状にし又はひいたものに限る。）
57,,,ロールにかけ又はフレーク状にした穀物
58,1104.12,000,オートのもの
59,1104.19,,その他の穀物のもの
60,,,1 小麦又はライ小麦のもの
61,,,*〔1〕小麦のもの
62,,111,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
63,,119,− その他のもの
64,,,*〔2〕ライ小麦のもの
65,,121,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
66,,129,− その他のもの
67,,,2 とうもろこし又は米のもの
68,,210,(1)とうもろこしのもの
69,,,(2)米のもの
70,,250,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
71,,290,− その他のもの
72,,,3 大麦又は裸麦のもの
73,,410,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
74,,490,− その他のもの
75,,300,4 その他のもの
76,,,その他の加工穀物（例えば、殻を除き、真珠形にとう精し、薄く切り又は粗くひいたもの）
77,1104.22,000,オートのもの
78,1104.23,,とうもろこしのもの
79,,010,1 コーンフレークの製造に使用するもの
80,,090,2 その他のもの
81,1104.29,,その他の穀物のもの
82,,,1 小麦又はライ小麦のもの
83,,,*〔1〕小麦のもの
84,,111,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
85,,119,− その他のもの
86,,,*〔2〕ライ小麦のもの
87,,121,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
88,,129,− その他のもの
89,,,2 米のもの
90,,250,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
91,,290,− その他のもの
92,,,3 大麦又は裸麦のもの
93,,410,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
94,,490,− その他のもの
95,,,4 その他のもの
96,,310,− そばのもの
97,,390,− その他のもの
98,1104.30,000,穀物の胚芽（全形のもの及びロールにかけ、フレーク状にし又はひいたものに限る。）
99,11.05,,ばれいしよの粉、ミール、フレーク、粒及びペレット
100,1105.10,000,粉及びミール
101,1105.20,000,フレーク、粒及びペレット
102,11.06,,乾燥した豆（第07.13項のものに限る。）、サゴやし又は根若しくは塊茎（第07.14項のものに限る。）の粉及びミール並びに第8類の物品の粉及びミール
103,1106.10,000,乾燥した豆（第07.13項のものに限る。）のもの
104,1106.20,,サゴやし又は根若しくは塊茎（第07.14項のものに限る。）のもの
105,,,− カッサバ芋のもの
106,,110,−− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
107,,190,−− その他のもの
108,,200,− その他のもの
109,1106.30,,第8類の物品のもの
110,,,− バナナのもの
111,,110,−− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
112,,190,−− その他のもの
113,,200,− その他のもの
114,11.07,,麦芽（いつてあるかないかを問わない。）
115,1107.10,,いつてないもの
116,,,− この号のいつてない麦芽及び第1107.20号のいつた麦芽について、当該年度における国内需要見込数量から国内生産見込数量を控除した数量を基準とし、国際市況その他の条件を勘案して政令で定める数量（以下この項において「共通の限度数量」という。）以内のもの
117,,011,−− 泥炭でくん蒸したもの
118,,021,−− その他のもの
119,,,− その他のもの
120,,019,−− 泥炭でくん蒸したもの
121,,029,−− その他のもの
122,1107.20,,いつたもの
123,,010,− 共通の限度数量以内のもの
124,,020,− その他のもの
125,11.08,,でん粉及びイヌリン
126,,,でん粉
127,1108.11,,小麦でん粉
128,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
129,,090,− その他のもの
130,1108.12,,とうもろこしでん粉（コーンスターチ）
131,,,"− この号に掲げるとうもろこしでん粉（コーンスターチ）、第1108.13号に掲げるばれいしよでん粉、第1108.14号に掲げるマニオカ（カッサバ）でん粉、第1108.19号に掲げるその他のでん粉、第1108.20号に掲げるイヌリン、第1901.20号の1の(2)のDの（b）に掲げるベーカリー製品製造用の混合物等及び第1901.90号の1の(2)のDの（b）に掲げる調製食料品について、157,000トンを基準とし、当該年度における当該物品及びコーンスターチの製造に使用するとうもろこしの需給、国際市況その他の条件を勘案して政令で定める数量（以下この項及び第19.01項において「でん粉等に係る共通の限度数量」という。）以内のもの"
132,,010,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの
133,,020,−− その他のもの
134,,,− その他のもの
135,,091,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するものとして関税暫定措置法第8条の6第1項の割当てを受けて輸入されるもの
136,,099,−− その他のもの
137,1108.13,,ばれいしよでん粉
138,,,− でん粉等に係る共通の限度数量以内のもの
139,,010,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの
140,,020,−− その他のもの
141,,,− その他のもの
142,,091,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するものとして関税暫定措置法第8条の6第1項の割当てを受けて輸入されるもの
143,,099,−− その他のもの
144,1108.14,,マニオカ（カッサバ）でん粉
145,,,− でん粉等に係る共通の限度数量以内のもの
146,,010,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの
147,,020,−− その他のもの
148,,,− その他のもの
149,,091,−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するものとして関税暫定措置法第8条の6第1項の割当てを受けて輸入されるもの
150,,099,−− その他のもの
151,1108.19,,その他のでん粉
152,,,− サゴでん粉
153,,,−− でん粉等に係る共通の限度数量以内のもの
154,,011,−−− でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの
155,,012,−−− その他のもの
156,,,−− その他のもの
