,hs_code,suffix,description
0,04.01,,ミルク及びクリーム（濃縮若しくは乾燥をし又は砂糖その他の甘味料を加えたものを除く。）
1,0401.10,,脂肪分が全重量の1％以下のもの
2,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの
3,,110,"− この号の1、第0401.20号の1、第0401.40号の1並びに第0401.50号の1の(1)及び(2)に掲げるミルク及びクリーム、第0403.20号の1並びに第0403.90号の1の(1)の*〔2〕、(2)の*〔2〕及び(3)の*〔2〕に掲げるバターミルク等、第0404.90号の1の(1)の*〔1〕及び*〔2〕、(2)の*〔1〕及び*〔2〕並びに(3)の*〔1〕及び*〔2〕に掲げるミルクの天然の組成分から成る物品、第1806.20号の1の(1)及び第1806.90号の2の(1)のAに掲げるココアを含有する調製食料品、第1901.10号の1の(1)及び(2)、第1901.20号の1の(1)のA及びB並びに第1901.90号の1の(1)のA及びBに掲げる調製食料品、第2101.12号の2の(1)のA及びB並びに第2101.20号の2の(1)のA及びBに掲げるコーヒー等をもととした調製品並びに第2106.10号の1並びに第2106.90号の1の(1)及び(2)に掲げる調製食料品について、133,940トン（全乳換算数量とし、政令で定めるところにより換算するものとする。）を基準とし、前年度における輸入数量、国際市況その他の条件を勘案して政令で定める数量（以下この項、第04.03項、第04.04項、第18.06項、第19.01項、第21.01項及び第21.06項において「その他の乳製品に係る共通の限度数量」という。）以内のもの"
4,,190,− その他のもの
5,,200,2 その他のもの
6,0401.20,,脂肪分が全重量の1％を超え6％以下のもの
7,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの
8,,110,− その他の乳製品に係る共通の限度数量以内のもの
9,,190,− その他のもの
10,,200,2 その他のもの
11,0401.40,,脂肪分が全重量の6％を超え10％以下のもの
12,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの
13,,110,− その他の乳製品に係る共通の限度数量以内のもの
14,,190,− その他のもの
15,,200,2 その他のもの
16,0401.50,,脂肪分が全重量の10％を超えるもの
17,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの及び脂肪分が全重量の13％以上のクリーム（滅菌し、冷凍し又は保存に適する処理をしたものを除く。）
18,,,(1)脂肪分が全重量の45％以下のもの
19,,111,− その他の乳製品に係る共通の限度数量以内のもの
20,,119,− その他のもの
21,,,(2)その他のもの
22,,121,− その他の乳製品に係る共通の限度数量以内のもの
23,,129,− その他のもの
24,,200,2 その他のもの
25,04.02,,ミルク及びクリーム（濃縮若しくは乾燥をし又は砂糖その他の甘味料を加えたものに限る。）
26,0402.10,,粉状、粒状その他の固形状のもの（脂肪分が全重量の1.5％以下のものに限る。）
27,,,1 砂糖を加えたもの
28,,110,*〔1〕独立行政法人農畜産業振興機構が畜産経営の安定に関する法律第17条第1項に規定する数量の範囲内で輸入するもの及び同条第2項に規定する農林水産大臣の承認を受けて輸入するもの
29,,,*〔2〕その他のもの
