,hs_code,suffix,description
0,96.01,,アイボリー、骨、かめの甲、角、枝角、さんご、真珠光沢を有する貝殻その他の動物性の彫刻用又は細工用の材料（加工したものに限る。）及び製品（これらの材料から製造したものに限るものとし、成形により得た製品を含む。）
1,9601.10,,アイボリー（加工したものに限る。）及びその製品
2,,010,1 ぞうげ製のもの
3,,020,2 その他のもの
4,9601.90,,その他のもの
5,,100,1 べつこう又はさんごの加工品及び製品
6,,900,2 その他のもの
7,96.02,,
8,9602.00,,植物性又は鉱物性の彫刻用又は細工用の材料（加工したものに限る。）及び製品（これらの材料から製造したものに限る。）、成形品、彫刻品及び細工品（ろう、ステアリン、天然ガム、天然レジン又はモデリングペーストから製造したものに限る。）、他の項に該当しないその他の成形品、彫刻品及び細工品並びに硬化させてないゼラチン（加工したものに限るものとし、第35.03項のゼラチンを除く。）及び硬化させてないゼラチンの製品
9,,010,1 ゼラチンカプセル
10,,090,2 その他のもの
11,96.03,,ほうき、ブラシ（機械類又は車両の部分品として使用するブラシを含む。）、動力駆動式でない手動床掃除機、モップ及び羽毛ダスター、ほうき又はブラシの製造用に結束し又は房状にした物品、ペイントパッド、ペイントローラー並びにスクイージー（ローラースクイージーを除く。）
12,9603.10,000,ほうき及びブラシ（小枝その他の植物性材料を結束したものに限るものとし、柄を有するか有しないかを問わない。）
13,,,歯ブラシ、ひげそり用ブラシ、ヘアブラシ、つめ用ブラシ、まつげ用ブラシその他化粧用ブラシ（器具の部分品を構成するブラシを含むものとし、身体に直接使用するものに限る。）
14,9603.21,000,歯ブラシ（義歯用ブラシを含む。）
15,9603.29,000,その他のもの
16,9603.30,000,美術用又は筆記用の筆その他これに類するブラシで化粧用のもの
17,9603.40,000,塗装用、ワニス用その他これらに類する用途に供するブラシ（第9603.30号のブラシを除く。）、ペイントパッド及びペイントローラー
18,9603.50,000,その他のブラシ（機械類又は車両の部分品を構成するものに限る。）
19,9603.90,,その他のもの
20,,030,1 床掃除機
21,,010,2 羽毛ダスター
22,,020,3 ほうき又はブラシの製造用に結束し又は房状にした物品
23,,090,4 その他のもの
24,96.04,,
25,9604.00,000,手ふるい
26,96.05,,
27,9605.00,000,トラベルセット（化粧用、洗面用、裁縫用又は靴若しくは衣服の清浄用のものに限る。）
28,96.06,,ボタン、プレスファスナー、スナップファスナー及びプレススタッド並びにこれらの部分品（ボタンモールドを含む。）並びにボタンのブランク
29,9606.10,000,プレスファスナー、スナップファスナー及びプレススタッド並びにこれらの部分品
30,,,ボタン
31,9606.21,000,プラスチック製のもので紡織用繊維を被覆してないもの
32,9606.22,000,卑金属製のもので紡織用繊維を被覆してないもの
33,9606.29,,その他のもの
34,,010,1 貝殻製のもの
35,,020,2 その他のもの
36,9606.30,000,ボタンの部分品（ボタンモールドを含む。）及びボタンのブランク
37,96.07,,スライドファスナー及びその部分品
38,,,スライドファスナー
39,9607.11,000,卑金属製の務歯を取り付けたもの
40,9607.19,000,その他のもの
41,9607.20,000,部分品
42,96.08,,ボールペン、フェルトペンその他の浸透性のペン先を有するペン及びマーカー、万年筆その他のペン、鉄筆、シャープペンシル並びにペン軸、ペンシルホルダーその他これらに類するホルダー並びにこれらの部分品（キャップ及びクリップを含むものとし、第96.09項の物品を除く。）
43,9608.10,,ボールペン
44,,010,1 軸又はキャップに貴金属、これを張り若しくはめつきした金属、貴石、半貴石、真珠、さんご、ぞうげ又はべつこうを使用したもの
45,,090,2 その他のもの
46,9608.20,000,フェルトペンその他の浸透性のペン先を有するペン及びマーカー
47,9608.30,,万年筆その他のペン
48,,100,1 軸又はキャップに貴金属、これを貼り若しくはめつきした金属、貴石、半貴石、真珠、さんご、象牙又はべつこうを使用したもの
49,,200,2 その他のもの
50,9608.40,,シャープペンシル
51,,010,1 軸又はキャップに貴金属、これを張り若しくはめつきした金属、貴石、半貴石、真珠、さんご、ぞうげ又はべつこうを使用したもの
52,,090,2 その他のもの
53,9608.50,000,第9608.10号から第9608.40号までの二以上の号の物品をセットにしたもの
54,9608.60,000,ボールペン用中しん（ポイント及びインク貯蔵部から成るものに限る。）
55,,,その他のもの
56,9608.91,000,ペン先及びニブポイント
57,9608.99,,その他のもの
58,,010,− ボールペン又はシャープペンシルの部分品及び附属品（ボールペン用中しんを除く。）
59,,090,− その他のもの
60,96.09,,鉛筆（第96.08項のシャープペンシルを除く。）、クレヨン、鉛筆の芯、パステル、図画用木炭、テーラースチョーク及び筆記用又は図画用のチョーク
61,9609.10,,鉛筆及びクレヨン（さやの中に芯を入れたものに限る。）
62,,010,− 黒芯のもの
63,,090,− その他のもの
64,9609.20,000,鉛筆の芯（色を問わない。）
65,9609.90,000,その他のもの
66,96.10,,
67,9610.00,000,石盤、黒板その他これらに類する板（筆記用又は図画用のものに限るものとし、枠を有するか有しないかを問わない。）
68,96.11,,
69,9611.00,000,日付印、封かん用の印、ナンバリングスタンプその他これらに類する物品（ラベルに印捺又は型押しをする器具を含むものとし、手動式のものに限る。）並びに手動式コンポジションスティック及びこれを有する手動式印刷用セット
70,96.12,,タイプライターリボンその他これに類するリボン（インキを付けたもの及びその他の方法により印字することができる状態にしたものに限るものとし、スプールに巻いてあるかないか又はカートリッジに入れてあるかないかを問わない。）及びインキパッド（インキを付けてあるかないか又は箱に入れてあるかないかを問わない。）
71,9612.10,000,リボン
72,9612.20,000,インキパッド
73,96.13,,たばこ用ライターその他のライター（機械式であるかないか又は電気式であるかないかを問わない。）及びその部分品（着火石及びしんを除く。）
74,9613.10,000,携帯用ライター（ガスを燃料として使用するものでガスの詰替えができるものを除く。）
75,9613.20,,携帯用ライター（ガスを燃料として使用するものでガスの詰替えができるものに限る。）
76,,010,1 貴金属、これを貼り若しくはめつきした金属、貴石、半貴石、真珠、さんご、象牙又はべつこうを使用したもの
77,,090,2 その他のもの
78,9613.80,000,その他のライター
79,9613.90,000,部分品
80,96.14,,
81,9614.00,,喫煙用パイプ（パイプボールを含む。）、シガーホルダー及びシガレットホルダー並びにこれらの部分品
82,,100,1 パイプ及びパイプボール
83,,900,2 その他のもの
