,hs_code,suffix,description
0,49.01,,印刷した書籍、小冊子、リーフレットその他これらに類する印刷物（単一シートのものであるかないかを問わない。）
1,4901.10,000,単一シートのもの（折り畳んであるかないかを問わない。）
2,,,その他のもの
3,4901.91,000,辞典及び事典（シリーズの形式で発行するものを含む。）
4,4901.99,000,その他のもの
5,49.02,,新聞、雑誌その他の定期刊行物（挿絵を有するか有しないか又は広告を含んでいるかいないかを問わない。）
6,4902.10,000,1週に4回以上発行するもの
7,4902.90,000,その他のもの
8,49.03,,
9,4903.00,000,幼児用の絵本及び習画本
10,49.04,,
11,4904.00,000,楽譜（印刷したもの及び手書きのものに限るものとし、製本してあるかないか又は挿絵を有するか有しないかを問わない。）
12,49.05,,地図、海図その他これらに類する図（製本したもの、壁掛け用のもの、地形図及び地球儀、天球儀その他これらに類するものを含むものとし、印刷したものに限る。）
13,4905.20,000,製本したもの
14,4905.90,000,その他のもの
15,49.06,,
16,4906.00,000,設計図及び図案（建築用、工学用、工業用、商業用、地形測量用その他これらに類する用途に供するもので手書き原図に限る。）並びに手書き文書並びにこれらをカーボン複写し又は感光紙に写真複写したもの
17,49.07,,
18,4907.00,000,郵便切手、収入印紙その他これらに類する物品（発行国（額面で流通する国を含む。）で通用するもので使用してないものに限る。）、これらを紙に印刷した物品、紙幣、銀行券及び小切手帳並びに株券、債券その他これらに類する有価証券
19,49.08,,デカルコマニア
20,4908.10,000,デカルコマニア（ガラス化することができるものに限る。）
21,4908.90,000,その他のもの
22,49.09,,
23,4909.00,000,葉書（印刷したもの及び挿絵を有するものに限る。）及び個人のあいさつ、伝言又は通知を印刷したカード（挿絵を有するか有しないか又は封筒若しくはトリミング付きであるかないかを問わない。）
24,49.10,,
25,4910.00,,カレンダー（カレンダーブロックを含むものとし、印刷したものに限る。）
26,,010,− 紙製又は板紙製のもの
27,,090,− その他のもの
28,49.11,,その他の印刷物（印刷した絵画及び写真を含む。）
29,4911.10,000,広告、商業用カタログその他これらに類する物品
30,,,その他のもの
31,4911.91,,絵画、デザイン及び写真
32,,010,− 写真
33,,090,− その他のもの
34,4911.99,000,その他のもの
