,hs_code,suffix,description
0,34.01,,せつけん、有機界面活性剤及びその調製品（せつけんとして使用するもので、棒状にし、ケーキ状にし又は成型したものに限るものとし、せつけんを含有するかしないかを問わない。）、有機界面活性剤及びその調製品（皮膚の洗浄に使用するもので、液状又はクリーム状で小売用にしたものに限るものとし、せつけんを含有するかしないかを問わない。）並びにせつけん又は洗浄剤を染み込ませ、塗布し又は被覆した紙、ウォッディング、フェルト及び不織布
1,,,せつけん、有機界面活性剤及びその調製品（棒状にし、ケーキ状にし又は成型したものに限る。）並びにせつけん又は洗浄剤を染み込ませ、塗布し又は被覆した紙、ウォッディング、フェルト及び不織布
2,3401.11,000,化粧用のもの（薬用のものを含む。）
3,3401.19,,その他のもの
4,,010,1 せつけん、有機界面活性剤及びその調製品
5,,020,2 その他のもの
6,3401.20,,せつけん（その他の形状のもの）
7,,010,1 化粧用のもの（薬用のものを含む。）
8,,020,2 その他のもの
9,3401.30,000,有機界面活性剤及びその調製品（皮膚の洗浄に使用するもので、液状又はクリーム状で小売用にしたものに限るものとし、せつけんを含有するかしないかを問わない。）
10,34.02,,有機界面活性剤（せつけんを除く。）並びに調製界面活性剤、調製洗剤、補助的調製洗剤及び清浄用調製品（せつけんを含有するかしないかを問わないものとし、第34.01項のものを除く。）
11,,,陰イオン(アニオン)系の有機界面活性剤（小売用にしてあるかないかを問わない。）
12,3402.31,000,直鎖アルキルベンゼンスルホン酸及びその塩
13,3402.39,000,その他のもの
14,,,その他の有機界面活性剤（小売用にしてあるかないかを問わない。）
15,3402.41,000,陽イオン（カチオン）系のもの
16,3402.42,000,非イオン系のもの
17,3402.49,000,その他のもの
18,3402.50,,調製品（小売用にしたものに限る。）
19,,010,1 調製界面活性剤
20,,090,2 その他のもの
21,3402.90,,その他のもの
22,,010,1 調製界面活性剤
23,,090,2 その他のもの
24,34.03,,調製潤滑剤（調製した切削油、ボルト又はナットの離脱剤、防錆防食剤及び離型剤で、潤滑剤をもととしたものを含む。）及び紡織用繊維、革、毛皮その他の材料のオイリング又は加脂処理に使用する種類の調製品（石油又は歴青油の含有量が全重量の70％以上で、かつ、石油又は歴青油が基礎的な成分を成す当該調製潤滑剤及び当該調製品を除く。）
25,,,石油又は歴青油を含有するもの
26,3403.11,000,紡織用繊維、革、毛皮その他の材料の処理用の調製品
27,3403.19,,その他のもの
28,,091,− 石油又は歴青油の含有量が水分を除いた全重量の50％を超えるもの
29,,099,− その他のもの
30,,,その他のもの
31,3403.91,000,紡織用繊維、革、毛皮その他の材料の処理用の調製品
32,3403.99,000,その他のもの
33,34.04,,人造ろう及び調製ろう
34,3404.20,000,ポリ（オキシエチレン）（ポリエチレングリコール）のもの
35,3404.90,,その他のもの
36,,010,− 化学的に変性させたモンタンろうのもの
37,,090,− その他のもの
38,34.05,,履物用、家具用、床用、車体用、ガラス用又は金属用の磨き料及びクリーム、擦り磨き用のペースト及び粉並びにこれらに類する調製品（この項の調製品を染み込ませ、塗布し又は被覆した紙、ウォッディング、フェルト、不織布、プラスチックフォーム及びセルラーラバーを含むものとし、第34.04項のろうを除く。）
39,3405.10,000,履物用又は革用の磨き料、クリームその他これらに類する調製品
40,3405.20,000,木製の家具、床その他の木製品の維持用の磨き料、クリームその他これらに類する調製品
41,3405.30,000,車体用の磨き料その他これに類する調製品（メタルポリッシュを除く。）
42,3405.40,000,擦り磨き用のペースト、粉その他の調製品
43,3405.90,000,その他のもの
44,34.06,,
45,3406.00,000,ろうそく及びこれに類する物品
46,34.07,,
47,3407.00,000,モデリングペースト（児童用のものを含む。）、歯科用のワックス及び印象材（セットにし、小売用の包装にし又は板状、馬蹄状、棒状その他これらに類する形状にしたものに限る。）並びに焼いた石膏又は硫酸カルシウムから成るプラスターをもととしたその他の歯科用の調製品
